,titulo,genero,duracion_min,puntuacion
0,Everything Everywhere,Aventura,139,8.1
1,John Wick 4,Acción,169,7.8
2,Barbie,Comedia,114,7.2
3,Oppenheimer,Drama,180,8.6
4,Super Mario Bros,Animación,92,7.1
5,Spider-Man: Across...,Animación,140,8.7
